P-P_Ratio,P-P-P_Ratio
0.33,0.67
0.5,0.5
0.71,0.29
0.5,0.5
0.83,0.17
0,1
0.75,0
0.33,0.67
0,1
0,0
0.53,0.42
0.5,0.5
1,0
0.52,0.48
1,0
1,0
0.8,0.02
0.5,0.48
0,1
0,1
1,0
0.75,0
0.75,0.25
0.74,0.26
1,0
0,0
0,1
0.2,0.8
0.73,0.19
0.53,0.4
0.51,0.47
0.38,0.19
0.8,0.2
0,0.67
0.76,0.16
0.53,0.47
1,0
1,0
0.67,0.17
0.4,0.2
0.78,0
0.43,0.57
0.18,0.55
1,0
0.78,0.11
0.25,0.75
0.31,0.69
0.17,0.5
0.2,0.8
0.83,0
0.6,0.4
0.46,0
0.7,0.3
0.86,0.14
0.75,0
1,0
1,0
0,1
0,0
0.67,0.33
0,1
0.5,0.5
0.89,0
0.72,0.28
0.29,0.71
0.71,0.29
0,0
1,0
0.8,0
0.29,0.71
0,1
0.6,0.4
1,0
0.5,0.5
1,0
0.65,0.35
0.85,0.08
0.33,0.33
0.83,0.17
1,0
1,0
0,1
0.6,0.4
0.2,0.8
0.87,0.07
0.75,0
1,0
0.57,0.43
0.53,0.44
0.83,0
0.44,0.53
0.25,0
0.25,0.75
1,0
0.8,0
0.63,0.36
0.88,0
0.27,0.73
0.62,0.38
0.71,0.29
0,0
1,0
1,0
0.8,0
0,1
0.67,0.33
0.62,0.25
1,0
1,0
1,0
0.4,0.6
0.75,0
0.73,0.2
0.71,0.14
0.2,0.67
0.5,0.5
0.5,0.38
0.81,0.12
0.5,0.5
0,0.83
0.59,0.41
1,0
0,1
0.38,0.62
0.62,0.38
0.43,0.57
0,1
0.5,0.5
0.5,0
0.67,0
0.33,0.33
0.39,0.44
0,0
0.83,0.17
1,0
0,1
0,0
0,0
0.2,0.8
1,0
0.4,0.6
0.32,0.65
0.5,0
1,0
0,1
0.67,0.33
1,0
0,1
0.4,0.6
0.6,0
0.72,0.06
1,0
0,0
0.33,0.67
0.25,0.5
1,0
0,1
1,0
1,0
0.75,0.12
0.74,0.07
0,1
0,0
0.53,0.33
0.29,0.66
1,0
0.68,0.21
1,0
0.43,0.56
1,0
0.8,0.2
0.81,0.1
0.75,0.25
0.67,0.33
0,1
0.2,0.6
1,0
0.67,0.33
0.5,0
1,0
0.81,0.19
1,0
0,1
0.25,0.5
0.75,0.25
0.5,0.3
0.4,0.6
0.68,0.26
0,1
0.33,0.67
1,0
0.79,0.18
0.5,0.5
0.31,0.56
0,1
0.8,0
1,0
0.81,0.19
1,0
0.87,0.05
